temp,time_of_day,weather,weekend,traffic_volume,traffic_volume_category
mild,afternoon,clear,0,5502,very_high_volume
mild,afternoon,clear,0,5979,very_high_volume
mild,afternoon,clouds,0,5663,very_high_volume
mild,evening,clouds,0,4259,high_volume
cool,evening,clouds,0,3069,medium_volume
cool,evening,clear,0,2378,medium_volume
cool,evening,clear,0,2030,medium_volume
cool,evening,clear,0,1400,medium_volume
cool,evening,clear,0,917,low_volume
cool,night,clear,0,515,low_volume
cool,night,clear,0,302,low_volume
cool,night,clear,0,251,low_volume
cool,night,clouds,0,798,low_volume
cool,night,clouds,0,2678,medium_volume
cool,morning,clouds,0,5733,very_high_volume
cool,morning,clouds,0,6449,very_high_volume
cool,morning,clouds,0,5765,very_high_volume
cool,morning,clouds,0,5599,very_high_volume
cool,morning,clouds,0,4534,high_volume
mild,morning,clouds,0,4691,high_volume
mild,afternoon,clouds,0,5067,very_high_volume
mild,afternoon,clouds,0,5030,very_high_volume
mild,afternoon,clouds,0,5300,very_high_volume
mild,afternoon,rain,0,5777,very_high_volume
mild,afternoon,clouds,0,6349,very_high_volume
mild,afternoon,clouds,0,6127,very_high_volume
mild,evening,clouds,0,4460,high_volume
mild,evening,clouds,0,3418,high_volume
mild,evening,clouds,0,2775,medium_volume
mild,evening,clouds,0,2306,medium_volume
mild,evening,clouds,0,1846,medium_volume
cool,evening,clouds,0,947,low_volume
cool,night,clouds,0,494,low_volume
cool,night,clouds,0,332,low_volume
cool,night,clouds,0,261,low_volume
cool,night,clouds,0,361,low_volume
cool,morning,clear,0,5875,very_high_volume
cool,morning,rain,0,6793,very_high_volume
cool,morning,other,0,6793,very_high_volume
cool,morning,rain,0,6283,very_high_volume
cool,morning,other,0,6283,very_high_volume
cool,morning,rain,0,5680,very_high_volume
cool,morning,other,0,5680,very_high_volume
cool,morning,clear,0,4632,high_volume
cool,morning,clear,0,4887,high_volume
cool,afternoon,clouds,0,5030,very_high_volume
cool,afternoon,clouds,0,5067,very_high_volume
cool,afternoon,clouds,0,5227,very_high_volume
cool,afternoon,clouds,0,5610,very_high_volume
cool,afternoon,clear,0,6286,very_high_volume
cool,evening,clear,0,4775,high_volume
cool,evening,clear,0,3340,medium_volume
cool,evening,clear,0,3013,medium_volume
cool,evening,clear,0,2603,medium_volume
cool,evening,clear,0,1910,medium_volume
cool,evening,clear,0,1037,low_volume
cool,night,clear,0,347,low_volume
cool,night,clouds,0,350,low_volume
cool,night,clouds,0,850,low_volume
cool,night,clouds,0,2791,medium_volume
cool,morning,clear,0,5809,very_high_volume
cool,morning,clear,0,6798,very_high_volume
cold,morning,clear,0,6304,very_high_volume
cool,morning,clouds,0,5291,very_high_volume
cool,morning,clear,0,4638,high_volume
mild,afternoon,clear,0,5557,very_high_volume
mild,afternoon,clear,0,5818,very_high_volume
mild,afternoon,clouds,0,6272,very_high_volume
mild,afternoon,clouds,0,5944,very_high_volume
mild,evening,clouds,0,4949,very_high_volume
cool,evening,clouds,0,3511,high_volume
cool,evening,clouds,0,3039,medium_volume
cool,evening,clouds,0,2679,medium_volume
cool,evening,clouds,0,2094,medium_volume
cool,evening,clouds,0,1284,medium_volume
mild,night,clouds,0,630,low_volume
mild,night,clouds,0,410,low_volume
mild,night,clouds,0,331,low_volume
mild,night,other,0,372,low_volume
cool,night,rain,0,739,low_volume
cool,night,other,0,2561,medium_volume
cool,morning,clouds,0,5586,very_high_volume
cool,morning,clouds,0,6992,very_high_volume
cool,morning,clouds,0,5860,very_high_volume
cool,morning,clouds,0,5230,very_high_volume
cool,morning,clouds,0,4864,high_volume
cool,morning,clouds,0,5146,very_high_volume
cool,afternoon,clouds,0,5526,very_high_volume
cool,afternoon,clouds,0,5383,very_high_volume
cool,afternoon,clouds,0,5758,very_high_volume
cool,afternoon,clouds,0,5889,very_high_volume
cool,afternoon,clouds,0,6057,very_high_volume
cool,afternoon,clouds,0,6028,very_high_volume
cool,evening,clouds,0,5257,very_high_volume
cool,evening,clear,0,1897,medium_volume
cold,night,clear,1,1335,medium_volume
cold,night,clear,1,769,low_volume
cold,night,clear,1,570,low_volume
cold,night,clouds,1,413,low_volume
cold,night,clear,1,399,low_volume
cold,night,clear,1,740,low_volume
cold,morning,clear,1,1420,medium_volume
cold,morning,clouds,1,2220,medium_volume
cold,morning,clouds,1,3479,high_volume
cold,morning,clouds,1,4546,high_volume
cool,morning,clouds,1,4579,high_volume
cool,morning,clear,1,4438,high_volume
cool,afternoon,clear,1,4623,high_volume
cool,afternoon,clear,1,4440,high_volume
mild,afternoon,clear,1,4495,high_volume
mild,afternoon,clear,1,4483,high_volume
mild,afternoon,clear,1,4591,high_volume
mild,afternoon,clear,1,4477,high_volume
mild,evening,clear,1,4221,high_volume
cool,evening,clouds,1,3672,high_volume
cool,evening,clear,1,3015,medium_volume
cool,evening,clouds,1,2769,medium_volume
cool,evening,clouds,1,2875,medium_volume
cool,evening,clouds,1,1931,medium_volume
cool,night,clouds,1,1309,medium_volume
cool,night,clouds,1,870,low_volume
cool,night,clouds,1,654,low_volume
cool,night,clouds,1,364,low_volume
cool,night,clouds,1,262,low_volume
cool,night,clouds,1,505,low_volume
cool,morning,clouds,1,861,low_volume
cool,morning,clouds,1,1132,low_volume
cool,morning,mist,1,1797,medium_volume
cool,morning,other,1,2685,medium_volume
cool,morning,mist,1,2685,medium_volume
cool,morning,other,1,2685,medium_volume
cool,morning,other,1,3370,medium_volume
cool,morning,mist,1,3370,medium_volume
mild,morning,other,1,3662,high_volume
mild,morning,mist,1,3662,high_volume
mild,afternoon,mist,1,4076,high_volume
mild,afternoon,rain,1,4076,high_volume
mild,afternoon,other,1,4076,high_volume
mild,afternoon,rain,1,4128,high_volume
mild,afternoon,mist,1,4128,high_volume
mild,afternoon,other,1,4128,high_volume
mild,afternoon,mist,1,4358,high_volume
mild,afternoon,rain,1,4358,high_volume
mild,afternoon,other,1,4358,high_volume
mild,afternoon,mist,1,4342,high_volume
mild,afternoon,rain,1,4342,high_volume
mild,afternoon,mist,1,4234,high_volume
mild,afternoon,rain,1,4271,high_volume
mild,afternoon,mist,1,4271,high_volume
mild,evening,mist,1,4080,high_volume
mild,evening,mist,1,3453,high_volume
mild,evening,mist,1,2718,medium_volume
mild,evening,mist,1,2439,medium_volume
mild,evening,mist,1,1819,medium_volume
cool,evening,mist,1,1002,low_volume
cool,evening,other,1,1002,low_volume
cool,night,mist,0,542,low_volume
cool,night,other,0,542,low_volume
cool,night,other,0,303,low_volume
cool,night,other,0,239,low_volume
cool,night,mist,0,335,low_volume
cool,night,other,0,335,low_volume
cool,night,mist,0,810,low_volume
cool,night,other,0,810,low_volume
cool,night,mist,0,2606,medium_volume
cool,night,other,0,2606,medium_volume
cool,morning,mist,0,5714,very_high_volume
cool,morning,mist,0,6798,very_high_volume
cool,morning,mist,0,6114,very_high_volume
cool,morning,mist,0,5094,very_high_volume
cool,morning,mist,0,4473,high_volume
cool,morning,clouds,0,4529,high_volume
cool,afternoon,clear,0,4823,high_volume
mild,afternoon,clouds,0,4872,high_volume
mild,afternoon,clear,0,5238,very_high_volume
mild,afternoon,clear,0,5584,very_high_volume
mild,afternoon,clouds,0,6246,very_high_volume
mild,afternoon,clouds,0,5957,very_high_volume
mild,evening,clouds,0,4535,high_volume
mild,evening,clouds,0,3234,medium_volume
mild,evening,clouds,0,2677,medium_volume
mild,evening,clouds,0,2077,medium_volume
mild,evening,clouds,0,1380,medium_volume
cool,evening,clouds,0,927,low_volume
cool,night,clouds,0,500,low_volume
cool,night,clear,0,324,low_volume
cool,night,clear,0,257,low_volume
cool,night,clear,0,354,low_volume
cool,night,clear,0,769,low_volume
cool,night,clear,0,2769,medium_volume
cool,morning,clear,0,5789,very_high_volume
cool,morning,clouds,0,7055,very_high_volume
cool,morning,clouds,0,6408,very_high_volume
cool,morning,clouds,0,5254,very_high_volume
cool,morning,clouds,0,4547,high_volume
mild,morning,clouds,0,4784,high_volume
mild,afternoon,clouds,0,5015,very_high_volume
mild,afternoon,clear,0,5057,very_high_volume
mild,afternoon,clouds,0,5430,very_high_volume
mild,afternoon,clouds,0,5813,very_high_volume
mild,afternoon,clouds,0,6496,very_high_volume
mild,afternoon,clouds,0,6429,very_high_volume
mild,evening,clouds,0,5142,very_high_volume
mild,evening,rain,0,3311,medium_volume
mild,evening,clouds,0,2777,medium_volume
mild,evening,clouds,0,2331,medium_volume
mild,evening,clouds,0,1767,medium_volume
mild,evening,clouds,0,1093,low_volume
mild,night,clouds,0,554,low_volume
mild,night,clouds,0,333,low_volume
mild,night,clouds,0,267,low_volume
mild,night,clouds,0,358,low_volume
mild,night,clouds,0,777,low_volume
mild,night,clouds,0,2732,medium_volume
mild,morning,clouds,0,5637,very_high_volume
mild,morning,clouds,0,5564,very_high_volume
mild,morning,clouds,0,6274,very_high_volume
mild,morning,rain,0,5403,very_high_volume
mild,morning,rain,0,5403,very_high_volume
mild,morning,clouds,0,4680,high_volume
mild,morning,clouds,0,4642,high_volume
mild,afternoon,clear,0,4979,very_high_volume
mild,afternoon,clear,0,4851,high_volume
mild,afternoon,clear,0,4291,high_volume
mild,afternoon,clear,0,4714,high_volume
mild,afternoon,clear,0,6723,very_high_volume
warm,afternoon,clear,0,6180,very_high_volume
mild,evening,clouds,0,4843,high_volume
mild,evening,clouds,0,3435,high_volume
mild,evening,clouds,0,2921,medium_volume
mild,evening,clouds,0,2763,medium_volume
mild,evening,clouds,0,1930,medium_volume
mild,evening,clouds,0,1160,low_volume
mild,night,clouds,0,654,low_volume
mild,night,clouds,0,374,low_volume
cool,night,mist,0,301,low_volume
cool,night,mist,0,397,low_volume
mild,night,clouds,0,794,low_volume
mild,night,mist,0,2564,medium_volume
mild,morning,clouds,0,5358,very_high_volume
mild,morning,clouds,0,6441,very_high_volume
mild,morning,clouds,0,5536,very_high_volume
mild,morning,rain,0,5256,very_high_volume
mild,morning,clouds,0,4619,high_volume
mild,morning,clouds,0,5107,very_high_volume
mild,afternoon,rain,0,5147,very_high_volume
mild,afternoon,clouds,0,5283,very_high_volume
mild,afternoon,clouds,0,5704,very_high_volume
mild,afternoon,clouds,0,5887,very_high_volume
mild,afternoon,clouds,0,6307,very_high_volume
mild,afternoon,clouds,0,5953,very_high_volume
mild,evening,clouds,0,4519,high_volume
mild,evening,other,0,3427,high_volume
mild,evening,rain,0,2921,medium_volume
cool,evening,other,0,2649,medium_volume
cool,evening,clouds,0,2005,medium_volume
cool,evening,clouds,0,1177,low_volume
cool,night,clouds,0,699,low_volume
cool,night,mist,0,436,low_volume
cool,night,other,0,353,low_volume
cool,night,mist,0,353,low_volume
cool,night,mist,0,399,low_volume
cool,night,other,0,720,low_volume
cool,night,mist,0,720,low_volume
cool,night,rain,0,720,low_volume
cool,night,other,0,720,low_volume
cool,night,mist,0,2370,medium_volume
cool,night,rain,0,2370,medium_volume
cool,morning,other,0,5162,very_high_volume
cool,morning,mist,0,5162,very_high_volume
cool,morning,rain,0,5162,very_high_volume
cool,morning,mist,0,5777,very_high_volume
cool,morning,rain,0,5777,very_high_volume
cool,morning,other,0,5235,very_high_volume
cool,morning,mist,0,5235,very_high_volume
cool,morning,rain,0,5235,very_high_volume
cool,morning,rain,0,4606,high_volume
cool,morning,mist,0,4606,high_volume
cool,morning,mist,0,4328,high_volume
cool,morning,clouds,0,4282,high_volume
cool,afternoon,clouds,0,4489,high_volume
cool,afternoon,clouds,0,4908,high_volume
cool,afternoon,mist,0,5620,very_high_volume
cool,afternoon,mist,0,5849,very_high_volume
cool,afternoon,other,0,5849,very_high_volume
cool,afternoon,rain,0,4945,very_high_volume
cool,afternoon,rain,0,4619,high_volume
cool,evening,clouds,0,4479,high_volume
cool,evening,clouds,0,3804,high_volume
cool,evening,clouds,0,2908,medium_volume
cool,evening,mist,0,2942,medium_volume
cool,evening,other,0,3077,medium_volume
cool,evening,other,0,3077,medium_volume
cool,evening,mist,0,2051,medium_volume
cool,evening,rain,0,2051,medium_volume
cool,evening,other,0,2051,medium_volume
cool,night,rain,1,1270,medium_volume
cool,night,rain,1,1270,medium_volume
cool,night,other,1,773,low_volume
cool,night,rain,1,773,low_volume
cool,night,other,1,589,low_volume
cool,night,other,1,432,low_volume
cool,night,mist,1,432,low_volume
cool,night,mist,1,401,low_volume
cool,night,other,1,401,low_volume
cool,night,rain,1,401,low_volume
cool,night,rain,1,759,low_volume
cool,night,mist,1,759,low_volume
cool,night,other,1,759,low_volume
cool,morning,rain,1,1313,medium_volume
cool,morning,mist,1,1313,medium_volume
cool,morning,other,1,1313,medium_volume
cool,morning,rain,1,1824,medium_volume
cool,morning,mist,1,1824,medium_volume
cool,morning,other,1,1824,medium_volume
cool,morning,rain,1,2787,medium_volume
cool,morning,mist,1,2787,medium_volume
cool,morning,other,1,2787,medium_volume
cool,morning,rain,1,3713,high_volume
cool,morning,other,1,3713,high_volume
cool,morning,mist,1,3713,high_volume
cool,morning,other,1,3713,high_volume
cool,morning,rain,1,3815,high_volume
cool,morning,other,1,3815,high_volume
cool,morning,mist,1,3815,high_volume
cool,morning,rain,1,3815,high_volume
cool,morning,rain,1,4339,high_volume
cool,morning,mist,1,4339,high_volume
cool,morning,other,1,4339,high_volume
mild,afternoon,rain,1,4613,high_volume
mild,afternoon,mist,1,4613,high_volume
mild,afternoon,rain,1,4613,high_volume
mild,afternoon,rain,1,4613,high_volume
mild,afternoon,rain,1,4507,high_volume
mild,afternoon,clouds,1,4452,high_volume
mild,afternoon,clouds,1,4636,high_volume
mild,afternoon,clouds,1,4810,high_volume
mild,afternoon,clouds,1,5125,very_high_volume
mild,evening,clouds,1,4337,high_volume
cool,evening,clouds,1,3644,high_volume
cool,evening,clouds,1,3107,medium_volume
cool,evening,clouds,1,2929,medium_volume
cool,evening,mist,1,2865,medium_volume
cool,evening,other,1,2340,medium_volume
cool,night,mist,1,1372,medium_volume
cool,morning,other,1,1928,medium_volume
cool,morning,mist,1,1928,medium_volume
mild,afternoon,clouds,1,4695,high_volume
cool,evening,clouds,1,4335,high_volume
cool,evening,clouds,1,1583,medium_volume
cool,evening,clouds,1,959,low_volume
cool,night,clouds,0,498,low_volume
cool,night,clouds,0,306,low_volume
cool,night,clouds,0,259,low_volume
cool,night,clouds,0,324,low_volume
cool,night,mist,0,806,low_volume
cool,night,mist,0,2622,medium_volume
cool,morning,mist,0,5456,very_high_volume
mild,morning,clear,0,4324,high_volume
mild,morning,clouds,0,4378,high_volume
mild,afternoon,clouds,0,4639,high_volume
mild,afternoon,clouds,0,4546,high_volume
mild,afternoon,clouds,0,5006,very_high_volume
warm,afternoon,clouds,0,5361,very_high_volume
warm,afternoon,clouds,0,6101,very_high_volume
warm,afternoon,clouds,0,5781,very_high_volume
mild,evening,clouds,0,4272,high_volume
mild,evening,clouds,0,3091,medium_volume
mild,evening,clear,0,2434,medium_volume
mild,evening,clear,0,1984,medium_volume
mild,evening,clouds,0,1383,medium_volume
mild,evening,clouds,0,959,low_volume
mild,night,clouds,0,511,low_volume
mild,night,clouds,0,346,low_volume
mild,night,clouds,0,253,low_volume
mild,night,clouds,0,349,low_volume
mild,night,clouds,0,807,low_volume
cool,night,clouds,0,2669,medium_volume
cool,morning,clouds,0,5210,very_high_volume
cool,morning,clouds,0,6083,very_high_volume
cool,morning,clouds,0,5790,very_high_volume
mild,morning,clouds,0,5484,very_high_volume
mild,morning,clouds,0,4407,high_volume
mild,morning,clouds,0,4725,high_volume
mild,afternoon,clouds,0,4826,high_volume
mild,afternoon,rain,0,4945,very_high_volume
mild,afternoon,clouds,0,5065,very_high_volume
mild,afternoon,other,0,5618,very_high_volume
mild,afternoon,clouds,0,6094,very_high_volume
mild,afternoon,clouds,0,5844,very_high_volume
mild,evening,clouds,0,4649,high_volume
mild,evening,clouds,0,3180,medium_volume
mild,evening,clouds,0,2963,medium_volume
mild,evening,clouds,0,2450,medium_volume
mild,evening,clouds,0,1613,medium_volume
mild,evening,clouds,0,1021,low_volume
mild,night,other,0,580,low_volume
mild,night,mist,0,580,low_volume
mild,night,clouds,0,298,low_volume
mild,night,other,0,261,low_volume
mild,night,mist,0,408,low_volume
mild,night,other,0,408,low_volume
mild,night,mist,0,793,low_volume
mild,night,other,0,793,low_volume
mild,night,mist,0,2643,medium_volume
mild,night,rain,0,2643,medium_volume
mild,night,other,0,2643,medium_volume
mild,morning,mist,0,5593,very_high_volume
mild,morning,other,0,5593,very_high_volume
mild,morning,rain,0,5593,very_high_volume
mild,morning,other,0,5593,very_high_volume
mild,morning,rain,0,5722,very_high_volume
mild,morning,mist,0,5722,very_high_volume
mild,morning,other,0,5607,very_high_volume
mild,morning,mist,0,5607,very_high_volume
mild,morning,rain,0,5607,very_high_volume
mild,morning,other,0,5607,very_high_volume
mild,morning,other,0,5492,very_high_volume
mild,morning,mist,0,5492,very_high_volume
mild,morning,rain,0,5492,very_high_volume
mild,morning,mist,0,4542,high_volume
mild,morning,mist,0,4720,high_volume
mild,morning,other,0,4720,high_volume
mild,afternoon,mist,0,4982,very_high_volume
mild,afternoon,other,0,4982,very_high_volume
mild,afternoon,other,0,4982,very_high_volume
mild,afternoon,other,0,5032,very_high_volume
mild,afternoon,mist,0,5032,very_high_volume
mild,afternoon,other,0,5032,very_high_volume
mild,afternoon,mist,0,5212,very_high_volume
mild,afternoon,other,0,5212,very_high_volume
mild,afternoon,mist,0,5661,very_high_volume
mild,afternoon,other,0,5661,very_high_volume
mild,afternoon,rain,0,5661,very_high_volume
mild,afternoon,mist,0,5812,very_high_volume
mild,afternoon,other,0,5855,very_high_volume
mild,afternoon,mist,0,5855,very_high_volume
mild,evening,other,0,4416,high_volume
mild,evening,mist,0,4416,high_volume
mild,evening,mist,0,3118,medium_volume
mild,evening,other,0,2877,medium_volume
mild,evening,mist,0,2877,medium_volume
mild,evening,mist,0,2498,medium_volume
mild,evening,mist,0,1701,medium_volume
mild,evening,mist,0,1028,low_volume
mild,night,mist,0,578,low_volume
mild,night,mist,0,354,low_volume
mild,night,mist,0,272,low_volume
mild,night,mist,0,370,low_volume
mild,night,mist,0,809,low_volume
mild,night,other,0,809,low_volume
mild,night,mist,0,2641,medium_volume
mild,morning,mist,0,4957,very_high_volume
mild,morning,mist,0,6036,very_high_volume
mild,morning,other,0,6036,very_high_volume
mild,morning,mist,0,5309,very_high_volume
mild,morning,mist,0,4438,high_volume
mild,morning,mist,0,4723,high_volume
mild,afternoon,mist,0,4879,high_volume
mild,afternoon,clouds,0,5062,very_high_volume
mild,afternoon,rain,0,5450,very_high_volume
mild,afternoon,mist,0,5450,very_high_volume
mild,afternoon,other,0,5450,very_high_volume
mild,afternoon,other,0,5450,very_high_volume
mild,afternoon,other,0,5888,very_high_volume
mild,afternoon,mist,0,5888,very_high_volume
mild,afternoon,rain,0,5888,very_high_volume
mild,afternoon,other,0,5888,very_high_volume
mild,afternoon,rain,0,5888,very_high_volume
mild,afternoon,rain,0,6473,very_high_volume
mild,afternoon,mist,0,6473,very_high_volume
mild,afternoon,other,0,6473,very_high_volume
mild,afternoon,rain,0,6488,very_high_volume
mild,afternoon,mist,0,6488,very_high_volume
mild,afternoon,rain,0,6488,very_high_volume
mild,evening,other,0,5351,very_high_volume
mild,evening,mist,0,5351,very_high_volume
mild,evening,rain,0,5351,very_high_volume
mild,evening,rain,0,5351,very_high_volume
mild,evening,other,0,3500,high_volume
mild,evening,mist,0,3500,high_volume
mild,evening,rain,0,3500,high_volume
mild,evening,rain,0,2856,medium_volume
mild,evening,mist,0,2856,medium_volume
mild,evening,other,0,2856,medium_volume
mild,evening,rain,0,2587,medium_volume
mild,evening,mist,0,2587,medium_volume
mild,evening,other,0,2587,medium_volume
mild,evening,clouds,0,1979,medium_volume
cool,evening,clouds,0,1284,medium_volume
cool,night,rain,0,665,low_volume
cool,night,rain,0,665,low_volume
cool,night,other,0,665,low_volume
cool,night,other,0,432,low_volume
cool,night,rain,0,432,low_volume
cool,night,rain,0,326,low_volume
cool,night,mist,0,326,low_volume
cool,night,other,0,326,low_volume
cool,night,rain,0,380,low_volume
cool,night,mist,0,380,low_volume
cool,night,other,0,380,low_volume
cool,night,other,0,380,low_volume
cool,night,rain,0,705,low_volume
cool,night,mist,0,705,low_volume
cool,night,rain,0,705,low_volume
cool,night,other,0,705,low_volume
cool,night,other,0,705,low_volume
cool,night,rain,0,2430,medium_volume
cool,night,mist,0,2430,medium_volume
cool,night,rain,0,2430,medium_volume
cool,night,other,0,2430,medium_volume
cool,morning,rain,0,5426,very_high_volume
cool,morning,mist,0,5426,very_high_volume
cool,morning,rain,0,5426,very_high_volume
cool,morning,rain,0,6499,very_high_volume
cool,morning,rain,0,6499,very_high_volume
cool,morning,rain,0,5856,very_high_volume
cool,morning,mist,0,5856,very_high_volume
cool,morning,rain,0,5856,very_high_volume
cool,morning,rain,0,5234,very_high_volume
cool,morning,mist,0,5234,very_high_volume
cool,morning,snow,0,5234,very_high_volume
cool,morning,rain,0,4695,high_volume
cool,morning,mist,0,4695,high_volume
cool,morning,rain,0,4695,high_volume
cool,morning,snow,0,4695,high_volume
cool,morning,rain,0,5341,very_high_volume
cool,morning,snow,0,5341,very_high_volume
cool,morning,mist,0,5341,very_high_volume
cool,morning,rain,0,5341,very_high_volume
cool,afternoon,mist,0,5943,very_high_volume
cool,afternoon,snow,0,5943,very_high_volume
cool,afternoon,snow,0,5874,very_high_volume
cool,afternoon,snow,0,5879,very_high_volume
cool,afternoon,mist,0,5879,very_high_volume
cool,afternoon,snow,0,6060,very_high_volume
cool,afternoon,clouds,0,6348,very_high_volume
cool,afternoon,clouds,0,5955,very_high_volume
cool,evening,clouds,0,5341,very_high_volume
cool,evening,clouds,0,4144,high_volume
cool,evening,clouds,0,3249,medium_volume
cool,evening,clouds,0,3017,medium_volume
cool,evening,clouds,0,2765,medium_volume
cool,evening,clouds,0,1894,medium_volume
cool,night,clouds,1,1159,low_volume
cool,night,clouds,1,822,low_volume
